symbol,exchange,err
HCA,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HCA,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HCA,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HCA,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
GOOGL,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
GOOGL,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
GOOGL,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
GOOGL,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
GOOGL,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
GOOGL,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
BURL,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
BURL,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
BURL,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
BURL,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
BURL,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
BURL,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
RL,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
RL,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
RL,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
RL,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
RL,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
RL,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AL,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AL,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AL,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AL,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AL,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AL,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AGNC,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AGNC,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AGNC,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AGNC,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AGNC,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AGNC,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
IONS,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
IONS,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
IONS,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
IONS,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
IONS,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
IONS,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
MSM,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
MSM,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
MSM,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
MSM,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
MSM,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
MSM,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
EHC,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
EHC,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
EHC,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
EHC,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
EHC,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
EHC,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AMG,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AMG,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AMG,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AMG,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AMG,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AMG,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
FLEX,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
FLEX,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
FLEX,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
FLEX,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
FLEX,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
FLEX,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
PHM,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
PHM,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
PHM,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
PHM,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
PHM,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
PHM,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AYI,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AYI,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AYI,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AYI,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AYI,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AYI,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
SEB,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
SEB,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
SEB,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
SEB,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
SEB,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
SEB,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NTAP,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NTAP,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NTAP,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NTAP,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NTAP,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NTAP,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ABBV,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ABBV,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ABBV,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ABBV,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ABBV,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ABBV,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ABT,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ABT,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ABT,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ABT,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ABT,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ABT,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
FIVE,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
FIVE,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
FIVE,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
FIVE,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
FIVE,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
FIVE,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
SGI,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
SGI,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
SGI,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
SGI,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
SGI,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
SGI,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NCLH,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NCLH,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NCLH,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NCLH,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NCLH,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
NCLH,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ELF,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ELF,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ELF,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ELF,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ELF,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
ELF,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
UI,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
UI,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
UI,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
UI,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
UI,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
UI,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
TPR,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
TPR,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
TPR,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
TPR,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
TPR,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
TPR,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
KEYS,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
KEYS,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
KEYS,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
KEYS,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
KEYS,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
KEYS,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AM,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AM,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AM,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AM,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AM,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
AM,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
RPRX,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
RPRX,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
RPRX,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
RPRX,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
RPRX,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
RPRX,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
EQH,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
EQH,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
EQH,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
EQH,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
EQH,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
EQH,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HBAN,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HBAN,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HBAN,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HBAN,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HBAN,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
HBAN,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
UTHR,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
UTHR,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
UTHR,AMEX,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
UTHR,BATS,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
UTHR,NYSEARCA,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
UTHR,NYSEMKT,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
DINO,NASDAQ,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
DINO,NYSE,"Can't access TradingView's API. HTTP status code: 429. Check for invalid symbol, exchange, or indicators."
